,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,FID RT,FID Area,MS RT,Compound Name,Formula,Match Factor,Compound Source,Compound Type Abbreviation
52,52,52,53,24.117,2.09,24.1131,2-Pentadecanone,C15H30O,75.8743549517546,Automatically assigned using a linear fit of manual peak assignments,O
53,53,53,54,24.296,0.0333,,,,,,
54,54,54,55,24.372,0.108,,,,,,
55,55,55,56,24.675,0.1034,,"Sebacic acid, nonyl 4-(2-phenylpropyl-2)-phenyl ester",C34H50O4,,"Speculated based on MBPR039_02, which used Ru/C 5wt.% at 280.0C and 134.0psi",O
56,56,56,57,24.745,0.2095,,,,,,
57,57,57,58,24.809,0.0941,,,,,,
58,58,58,59,24.843,0.1954,,,,,,
59,59,59,60,24.903,0.0844,,,,,,
60,60,60,61,24.972,1.9245,24.968,Heneicosane,C21H44,89.9961083849161,Automatically assigned using a linear fit of manual peak assignments,L
61,61,61,62,25.055,0.0947,,,,,,
62,62,62,63,25.133,0.0436,,,,,,
63,63,63,64,25.205,0.0441,,,,,,
64,64,64,65,25.283,0.0844,,,,,,
65,65,65,66,25.373,0.1517,,,,,,
66,66,66,67,25.534,0.1673,,,,,,
67,67,67,68,25.585,0.0854,,,,,,
68,68,68,69,25.626,0.1784,,,,,,
69,69,69,70,25.662,0.067,,,,,,
70,70,70,71,25.778,0.4445,,,,,,
71,71,71,72,25.859,1.2613,25.8554,Hexadecane,C16H34,86.2299461907932,Automatically assigned using a linear fit of manual peak assignments,L
72,72,72,73,25.955,3.4172,25.9505,2-Hexadecanone,C16H32O,77.9774742603576,Automatically assigned using a linear fit of manual peak assignments,O
73,73,73,74,26.023,0.0605,,"Cyclobutanol, 1-butyl-",C8H16O,,"Speculated based on MBPR024, which used Ru/C 5wt.% at 281.0C and 127.0psi",O
74,74,74,75,26.156,0.2347,,,,,,
75,75,75,76,26.255,0.0785,,"3,5-di-tert-Butyl-4-hydroxyanisole",C15H24O2,,"Speculated based on MBPR039_02, which used Ru/C 5wt.% at 280.0C and 134.0psi",O
76,76,76,77,26.41,0.1234,,,,,,
77,77,77,78,26.481,0.2387,,,,,,
78,78,78,79,26.543,0.3109,,,,,,
79,79,79,80,26.591,0.3727,,,,,,
80,80,80,81,26.711,2.6418,26.7081,Heneicosane,C21H44,90.2455664226132,Automatically assigned using a linear fit of manual peak assignments,L
81,81,81,82,26.818,0.1814,,,,,,
82,82,82,83,26.885,0.0542,,,,,,
83,83,83,84,26.992,0.1097,,,,,,
84,84,84,85,27.105,0.3861,,2-Isopropyl-10-methylphenanthrene,C18H18,,"Speculated based on MBPR039_02, which used Ru/C 5wt.% at 280.0C and 134.0psi",A
85,85,85,86,27.233,0.2476,,,,,,
86,86,86,87,27.319,3.1336,27.3146,"Octanal, 7-hydroxy-3,7-dimethyl-",C10H20O2,59.558508874007,Automatically assigned using a linear fit of manual peak assignments,O
87,87,87,88,27.435,0.3626,27.4238,"Benzene, 1,3,5-tri-tert-butyl-",C18H30,57.633094605931,Automatically assigned using a linear fit of manual peak assignments,A
88,88,88,89,27.528,1.6839,27.5274,Tetracosane,C24H50,82.33904702,,L
89,89,89,90,27.647,5.314,27.6433,2-Nonadecanone,C19H38O,81.7375595796586,Automatically assigned using a linear fit of manual peak assignments,O
90,90,90,91,27.803,0.2767,,,,,,
91,91,91,92,27.883,0.0893,,,,,,
92,92,92,93,27.937,0.0621,,,,,,
93,93,93,94,28.081,0.431,,,,,,
94,94,94,95,28.141,0.6437,,,,,,
95,95,95,96,28.217,0.7389,,,,,,
96,96,96,97,28.267,0.1337,,,,,,
97,97,97,98,28.317,2.9476,28.3151,Octadecane,C18H38,87.0711209969581,Automatically assigned using a linear fit of manual peak assignments,L
98,98,98,99,28.351,0.6069,,Heneicosane,C21H44,,"Speculated based on MBPR040_02, which used Ru/C 5wt.% at 280.0C and 134.0psi",L
99,99,99,100,28.446,0.2176,,,,,,
100,100,100,101,28.504,0.2885,,,,,,
101,101,101,102,28.586,0.1809,,"8-Isopropyl-1,3-dimethylphenanthrene",C19H20,,"Speculated based on MBPR039_02, which used Ru/C 5wt.% at 280.0C and 134.0psi",A
102,102,102,103,28.668,0.2327,,"8-Isopropyl-1,3-dimethylphenanthrene",C19H20,,"Speculated based on MBPR039_02, which used Ru/C 5wt.% at 280.0C and 134.0psi",A
103,103,103,104,28.712,0.2129,,,,,,
104,104,104,105,28.773,0.3406,,,,,,
105,105,105,106,28.844,0.3783,,,,,,
106,106,106,107,28.886,0.4537,,,,,,
107,107,107,108,28.982,0.2353,,,,,,
108,108,108,109,29.027,0.1119,,,,,,
109,109,109,110,29.077,1.8654,29.0745,Tetracosane,C24H50,83.52656615,,L
110,110,110,111,29.212,6.4873,29.2087,"Carbonic acid, eicosyl prop-1-en-2-yl ester",C24H46O3,76.0578747593396,Automatically assigned using a linear fit of manual peak assignments,O
111,111,111,112,29.272,0.1316,,2-Pentadecanone,C15H30O,,"Speculated based on MBPR027, which used Ru/C 5wt.% at 278.0C and 130.0psi",O
112,112,112,113,29.33,0.4696,,,,,,
113,113,113,114,29.543,0.1591,,,,,,
114,114,114,115,29.623,0.5366,,,,,,
115,115,115,116,29.654,0.352,,,,,,
116,116,116,117,29.716,0.2307,,,,,,
117,117,117,118,29.764,0.6873,29.7584,3-Ethyl-3-methylheptane,C10H22,,"Speculated based on MBPR040_02, which used Ru/C 5wt.% at 280.0C and 134.0psi",B
118,118,118,119,29.809,3.1301,29.8082,Heptacosane,C27H56,82.4276158134989,Automatically assigned using a linear fit of manual peak assignments,L
119,119,119,120,29.857,0.9209,,3-Ethyl-3-methylheptane,C10H22,,"Speculated based on MBPR040_02, which used Ru/C 5wt.% at 280.0C and 134.0psi",B
120,120,120,121,29.954,0.2901,,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,,"Speculated based on MBPR030, which used Ru/C 5wt.% at 263.0C and 119.0psi",O
121,121,121,122,30.207,1.7051,,,,,,
122,122,122,123,30.285,0.1417,,,,,,
123,123,123,124,30.342,0.4304,,,,,,
124,124,124,125,30.381,0.4294,,,,,,
125,125,125,126,30.433,0.3028,,2-Acetyl-6-(adamantyl-1)naphthalene,C22H24O,,"Speculated based on MBPR038_02, which used Ru/C 5wt.% at 280.0C and 134.0psi",O
126,126,126,127,30.539,2.6698,30.5388,"Tridecane, 3-methyl-",C14H30,74.8168019525231,Automatically assigned using a linear fit of manual peak assignments,B
127,127,127,128,30.709,7.6568,30.7057,2-Nonadecanone,C19H38O,68.2826376464002,Automatically assigned using a linear fit of manual peak assignments,O
128,128,128,129,30.805,0.8139,30.8083,No Match,,,Automatically assigned using a linear fit of manual peak assignments,
129,129,129,130,30.941,0.1074,,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,,"Speculated based on MBPR027, which used Ru/C 5wt.% at 278.0C and 130.0psi",O
130,130,130,131,31.019,0.4548,,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,,"Speculated based on MBPR040_02, which used Ru/C 5wt.% at 280.0C and 134.0psi",O
131,131,131,132,31.119,1.0301,,"1(3H)-Isobenzofuranone, 3,3-dimethyl-",C10H10O2,,"Speculated based on MBPR024, which used Ru/C 5wt.% at 281.0C and 127.0psi",O
132,132,132,133,31.155,0.4555,,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,,"Speculated based on MBPR038_02, which used Ru/C 5wt.% at 280.0C and 134.0psi",O
133,133,133,134,31.232,0.712,,"1,2,4-Benzenetricarboxylic acid, 1,2-dimethyl ester",C11H10O6,,"Speculated based on MBPR024, which used Ru/C 5wt.% at 281.0C and 127.0psi",O
134,134,134,135,31.341,3.7235,31.3413,"Undecane, 5-ethyl-5-propyl-",C16H34,78.49031512,,B
135,135,135,136,31.415,0.9958,,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,,"Speculated based on MBPR038_02, which used Ru/C 5wt.% at 280.0C and 134.0psi",O
136,136,136,137,31.545,0.4187,,"1,2,4-Benzenetricarboxylic acid, 1,2-dimethyl ester",C11H10O6,,"Speculated based on MBPR027, which used Ru/C 5wt.% at 278.0C and 130.0psi",O
137,137,137,138,31.599,0.1345,,"1,2,4-Benzenetricarboxylic acid, 1,2-dimethyl ester",C11H10O6,,"Speculated based on MBPR027, which used Ru/C 5wt.% at 278.0C and 130.0psi",O
138,138,138,139,31.644,0.5013,,"Terephthalic acid, butyl 3,5-dimethylphenyl ester",C20H22O4,,"Speculated based on MBPR024, which used Ru/C 5wt.% at 281.0C and 127.0psi",O
139,139,139,140,31.758,0.9407,,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,,"Speculated based on MBPR033, which used Ru/C 5wt.% at 280.0C and 134.0psi",O
140,140,140,141,31.806,0.27,,5-Hydroxy-7-methoxy-2-methyl-3-phenyl-4-chromenone,C17H14O4,,"Speculated based on MBPR040_02, which used Ru/C 5wt.% at 280.0C and 134.0psi",O
141,141,141,142,31.852,0.4028,,5-Hydroxy-7-methoxy-2-methyl-3-phenyl-4-chromenone,C17H14O4,,"Speculated based on MBPR040_02, which used Ru/C 5wt.% at 280.0C and 134.0psi",O
142,142,142,143,31.901,0.6412,,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,,"Speculated based on MBPR040_02, which used Ru/C 5wt.% at 280.0C and 134.0psi",O
143,143,143,144,32.016,1.441,,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,,"Speculated based on MBPR027, which used Ru/C 5wt.% at 278.0C and 130.0psi",O
144,144,144,145,32.09,0.3012,32.0901,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,,"Speculated based on MBPR027, which used Ru/C 5wt.% at 278.0C and 130.0psi",O
145,145,145,146,32.246,2.9678,32.2453,"Nonane, 5-methyl-5-propyl-",C13H28,73.3444550452749,Automatically assigned using a linear fit of manual peak assignments,B
146,146,146,147,32.332,0.6172,,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,,"Speculated based on MBPR024, which used Ru/C 5wt.% at 281.0C and 127.0psi",O
147,147,147,148,32.492,7.3054,32.4904,2-Pentadecanone,C15H30O,67.4044100400816,Automatically assigned using a linear fit of manual peak assignments,O
148,148,148,149,32.583,0.5888,,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,,"Speculated based on MBPR033, which used Ru/C 5wt.% at 280.0C and 134.0psi",O
149,149,149,150,32.685,0.758,,,,,,
150,150,150,151,32.824,0.5813,32.8166,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,57.1521521932681,Automatically assigned using a linear fit of manual peak assignments,O
151,151,151,152,32.972,1.2328,,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,,"Speculated based on MBPR033, which used Ru/C 5wt.% at 280.0C and 134.0psi",O
152,152,152,153,33.054,0.5523,,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,,"Speculated based on MBPR027, which used Ru/C 5wt.% at 278.0C and 130.0psi",O
153,153,153,154,33.17,0.7697,,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,,"Speculated based on MBPR033, which used Ru/C 5wt.% at 280.0C and 134.0psi",O
154,154,154,155,33.291,3.5253,33.2902,Hexadecane,C16H34,59.64446868,,L
155,155,155,156,33.406,1.2585,,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,,"Speculated based on MBPR040_02, which used Ru/C 5wt.% at 280.0C and 134.0psi",O
156,156,156,157,33.591,1.2225,,,,,,
157,157,157,158,33.803,1.0755,,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,,"Speculated based on MBPR027, which used Ru/C 5wt.% at 278.0C and 130.0psi",O
158,158,158,159,33.871,0.8503,,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,,"Speculated based on MBPR033, which used Ru/C 5wt.% at 280.0C and 134.0psi",O
159,159,159,160,34.019,1.1325,,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,,"Speculated based on MBPR027, which used Ru/C 5wt.% at 278.0C and 130.0psi",O
160,160,160,161,34.253,2.3199,,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,,"Speculated based on MBPR024, which used Ru/C 5wt.% at 281.0C and 127.0psi",O
161,161,161,162,34.38,0.4738,,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,,"Speculated based on MBPR027, which used Ru/C 5wt.% at 278.0C and 130.0psi",O
162,162,162,163,34.512,2.6712,34.519,"Fumaric acid, isobutyl propargyl ester",C11H14O4,53.2221641014581,Automatically assigned using a linear fit of manual peak assignments,O
163,163,163,164,34.673,0.5199,,,,,,
164,164,164,165,34.891,6.854,34.8853,2-Dodecanone,C12H24O,56.9390038732793,Automatically assigned using a linear fit of manual peak assignments,O
165,165,165,166,34.974,0.4403,,"1,2,4-Benzenetricarboxylic acid, 1,2-dimethyl ester",C11H10O6,,"Speculated based on MBPR024, which used Ru/C 5wt.% at 281.0C and 127.0psi",O
166,166,166,167,35.098,0.943,,,,,,
167,167,167,168,35.3,1.0368,,,,,,
168,168,168,169,35.51,1.7776,,,,,,
169,169,169,170,35.645,0.7112,,,,,,
170,170,170,171,35.804,0.9825,,,,,,
171,171,171,172,35.958,2.6522,,,,,,
172,172,172,173,36.514,0.096,,,,,,
173,173,173,174,36.61,1.0594,,,,,,
174,174,174,175,36.767,0.5377,,,,,,
175,175,175,176,36.963,1.2246,,,,,,
176,176,176,177,37.363,1.8648,,,,,,
177,177,177,178,37.69,2.0908,,,,,,
178,178,178,179,38.274,6.731,38.2677,1-Butoxypropan-2-yl 3-methylbutanoate,C12H24O3,61.6131427963443,Automatically assigned using a linear fit of manual peak assignments,O
179,179,179,180,39.092,1.5787,,,,,,
180,180,180,181,39.569,1.2064,,,,,,
181,181,181,182,39.785,2.3735,39.7912,No Match,,,Automatically assigned using a linear fit of manual peak assignments,
182,182,182,183,39.965,0.0318,,,,,,
