,Unnamed: 0,FID RT,FID Area,MS RT,Compound Name,Formula,Match Factor,Compound Source,Compound Type Abbreviation
71,71,5.283,6.8372,10.6942,"4-Undecene, 7-methyl-",C12H24,82.44387848,Automatically assigned using a linear fit of manual peak assignments,E
72,72,5.317,16.0102,10.7979,"6,6-Dimethylhepta-2,4-diene",C9H16,58.15441095,Automatically assigned using a linear fit of manual peak assignments,E
73,73,5.348,12.1548,10.8838,"Octane, 2-methyl-",C9H20,97.38403226,Automatically assigned using a linear fit of manual peak assignments,B
74,74,5.411,27.0126,,,,,,
75,75,5.482,7.2309,,,,,,
76,76,5.527,14.0841,11.2176,"Cyclohexane, 1,3,5-trimethyl-",C9H18,83.77787232,Automatically assigned using a linear fit of manual peak assignments,C
77,77,5.564,3.797,11.2758,"Cyclohexane, 1,3,5-trimethyl-",C9H18,83.10142863,Automatically assigned using a linear fit of manual peak assignments,C
78,78,5.593,1.3431,11.3188,"Hexanal, 3,5,5-trimethyl-",C9H18O,57.79001643,Automatically assigned using a linear fit of manual peak assignments,O
79,79,5.627,8.6304,11.3931,"3,5-Dimethyl-3-heptene",C9H18,87.65873428,Automatically assigned using a linear fit of manual peak assignments,E
80,80,5.677,4.5776,11.4357,1-Ethyl-4-methylcyclohexane,C9H18,80.36919449,Automatically assigned using a linear fit of manual peak assignments,C
81,81,5.712,3.0133,11.5283,Ethylbenzene,C8H10,96.37815091,Automatically assigned using a linear fit of manual peak assignments,A
82,82,5.777,7.4313,11.6365,Nonane,C9H20,91.55537403,Automatically assigned using a linear fit of manual peak assignments,L
83,83,5.81,11.8432,,,,,,
84,84,5.926,19.6838,,,,,,
85,85,5.995,15.5753,,,,,,
86,86,6.069,18.6505,12.2355,"Octane, 2,7-dimethyl-",C10H22,86.28246859,Automatically assigned using a linear fit of manual peak assignments,B
87,87,6.158,9.1541,12.3337,"Octane, 3,6-dimethyl-",C10H22,95.18727962,Automatically assigned using a linear fit of manual peak assignments,B
88,88,6.268,4.4739,,,,,,
89,89,6.334,2.3948,12.7253,"Heptane, 3-ethyl-2-methyl-",C10H22,85.00717685,Automatically assigned using a linear fit of manual peak assignments,B
90,90,6.398,5.7596,12.8514,"Nonane, 4-methyl-",C10H22,85.62112046,Automatically assigned using a linear fit of manual peak assignments,B
91,91,6.519,21.2027,13.0304,Mesitylene,C9H12,69.76143471,Automatically assigned using a linear fit of manual peak assignments,A
92,92,6.559,12.8084,,,,,,
93,93,6.627,9.3641,,,,,,
94,94,6.666,7.1218,,,,,,
95,95,6.717,2.5881,,,,,,
96,96,6.756,2.112,13.5037,"Benzene, 1,2,4-trimethyl-",C9H12,93.01129359,Automatically assigned using a linear fit of manual peak assignments,A
97,97,6.811,1.8926,,,,,,
98,98,6.844,1.5921,,,,,,
99,99,6.896,1.2268,,,,,,
100,100,6.929,0.8444,,,,,,
101,101,6.968,0.3369,13.8952,"Decane, 2,4-dimethyl-",C12H26,87.8161342,Automatically assigned using a linear fit of manual peak assignments,B
102,102,7.024,20.3468,13.5037,"Benzene, 1,2,4-trimethyl-",C9H12,93.01129359,Manual,A
103,103,7.124,1.9491,,,,,,
104,104,7.201,0.4856,,,,,,
105,105,7.252,0.1831,,,,,,
106,106,7.298,0.1568,,,,,,
107,107,7.345,1.6141,,,,,,
108,108,7.436,1.5737,,,,,,
109,109,7.481,4.0242,,,,,,
110,110,7.519,0.1726,,,,,,
111,111,7.563,1.3095,,,,,,
112,112,7.666,1.3187,,,,,,
113,113,7.733,0.5617,,,,,,
114,114,7.84,0.1527,,,,,,
115,115,7.936,1.7466,,,,,,
116,116,7.99,0.3504,,,,,,
117,117,8.017,0.5485,,,,,,
118,118,8.048,1.7168,,,,,,
119,119,8.121,0.8217,,,,,,
120,120,8.174,0.1889,,,,,,
121,121,8.22,0.5283,,,,,,
122,122,8.269,0.1678,,,,,,
123,123,8.335,0.7315,,,,,,
124,124,8.358,0.5824,,,,,,
125,125,8.457,1.1611,,,,,,
126,126,8.557,0.0759,,,,,,
127,127,8.664,0.2093,,,,,,
128,128,8.697,0.1087,,,,,,
129,129,8.749,0.0993,,,,,,
130,130,8.778,0.1117,,,,,,
131,131,8.831,0.0897,,,,,,
132,132,8.919,0.9154,,,,,,
133,133,8.985,0.7918,,,,,,
134,134,9.076,0.062,,,,,,
135,135,9.169,0.0518,,,,,,
136,136,9.262,0.0817,,,,,,
137,137,9.341,0.1674,,,,,,
138,138,9.462,0.2121,,,,,,
139,139,9.608,0.0706,,,,,,
140,140,9.788,0.0513,,,,,,
141,141,9.975,0.0771,,,,,,
142,142,10.038,0.1736,,,,,,
143,143,10.124,0.2713,,,,,,
144,144,10.289,0.0515,,,,,,
145,145,10.324,0.0749,,,,,,
146,146,10.434,0.0479,,,,,,
147,147,10.517,0.065,,,,,,
148,148,10.604,0.0623,,,,,,
149,149,10.786,0.0472,,,,,,
150,150,10.854,0.1264,,,,,,
151,151,10.948,0.0497,,,,,,
152,152,11.01,0.1361,,,,,,
153,153,11.102,0.1031,,,,,,
154,154,11.221,0.0577,,,,,,
155,155,11.279,0.1067,,,,,,
156,156,11.464,0.107,,,,,,
157,157,11.5,0.2536,,,,,,
158,158,11.665,0.1691,,,,,,
159,159,11.721,0.1229,,,,,,
160,160,11.794,0.0968,,,,,,
161,161,11.864,0.1294,,,,,,
162,162,11.948,0.2429,,,,,,
163,163,12.016,0.1386,,,,,,
164,164,12.169,0.3003,,,,,,
165,165,12.208,0.1304,,,,,,
166,166,12.269,0.0718,,,,,,
167,167,12.335,0.2181,,,,,,
168,168,12.425,0.1435,,,,,,
169,169,12.587,0.1254,,,,,,
170,170,12.8,0.3836,,,,,,
171,171,12.909,0.2277,,,,,,
172,172,12.999,0.0817,,,,,,
173,173,13.089,0.0597,,,,,,
174,174,13.138,0.0757,,,,,,
175,175,13.226,0.071,,,,,,
176,176,13.275,0.0793,,,,,,
177,177,13.586,0.0722,,,,,,
178,178,13.677,0.0482,,,,,,
179,179,14.028,0.1179,,,,,,
180,180,14.134,0.0926,,,,,,
181,181,14.669,0.0995,,,,,,
182,182,15.119,2.3307,,,,,,
183,183,16.685,0.2418,,,,,,
184,184,18.421,0.0682,,,,,,
