FID RT,FID Area,MS RT,Compound Name,Formula,Match Factor,Compound Source,Compound Type Abbreviation
3.145,30.5478,7.247,3-Pentanone,C5H10O,63.50026724,Automatically assigned using a linear fit of manual peak assignments,O
3.242,13.7409,7.562198903,No Match,,,Automatically assigned using a linear fit of manual peak assignments,
3.405,33.7469,7.7289,"Cyclopentane, 1,2,4-trimethyl-",C8H16,93.76864377,Automatically assigned using a linear fit of manual peak assignments,C
3.482,304.6927,8.009654121,"Furan, 2-ethyl-5-methyl-",C7H10O,79.00981057,Automatically assigned using a linear fit of manual peak assignments,O
3.589,161.3103,8.280423351,"Hexane, 2,3-dimethyl-",C8H18,97.8314927,Automatically assigned using a linear fit of manual peak assignments,B
3.648,83.8696,8.480651251,"2-Butanone, 3-methyl-1-phenyl-",C11H14O,75.85035796,Automatically assigned using a linear fit of manual peak assignments,O
3.715,8.272,8.573179005,"Cyclohexene, 1-methyl-",C7H12,77.46138654,Automatically assigned using a linear fit of manual peak assignments,C
3.759,6.2193,8.6446,"Heptane, 3-methyl-",C8H18,97.45925728,Automatically assigned using a linear fit of manual peak assignments,B
3.792,15.5394,8.79097953,"Cyclohexane, 1,4-dimethyl-",C8H16,90.54309366,Automatically assigned using a linear fit of manual peak assignments,C
3.826,19.5024,8.878358486,"Hexane, 2,2,5-trimethyl-",C9H20,95.986342,Automatically assigned using a linear fit of manual peak assignments,B
3.885,2.0392,8.95644636,"Cyclohexane, 1,1-dimethyl-",C8H16,97.01444672,Automatically assigned using a linear fit of manual peak assignments,C
3.923,17.2127,9.080659088,"Cyclopentane, 1-ethyl-3-methyl-",C8H16,97.06434518,Automatically assigned using a linear fit of manual peak assignments,C
3.971,73.8987,9.1878713,"Cyclopentane, 1-ethyl-1-methyl-",C8H16,81.94641139,Automatically assigned using a linear fit of manual peak assignments,C
4.036,36.9493,9.335558413,Octane,C8H18,97.15652006,Automatically assigned using a linear fit of manual peak assignments,L
4.123,8.2087,9.55184852,"Cyclopentane, 1,1,3,4-tetramethyl-, cis-",C9H18,74.54270655,Automatically assigned using a linear fit of manual peak assignments,C
4.19,5.0121,9.6955,"6,6-Dimethylhepta-2,4-diene",C9H16,73.43675768,Automatically assigned using a linear fit of manual peak assignments,E
4.241,6.0975,9.785411438,"Hexane, 2,2,5-trimethyl-",C9H20,93.5488141,Automatically assigned using a linear fit of manual peak assignments,B
4.301,21.5692,9.940418063,5-Methyl-2-(2-methyl-2-tetrahydrofuryl)tetrahydrofuran,C10H18O2,83.7983242,Automatically assigned using a linear fit of manual peak assignments,O
4.347,4.6534,10.0401,"Octane, 2-methyl-",C9H20,91.70558801,Automatically assigned using a linear fit of manual peak assignments,B
4.401,45.9049,10.1498,"Cyclohexane, ethyl-",C8H16,94.12458524,Automatically assigned using a linear fit of manual peak assignments,C
4.464,20.3479,10.31200123,"4,6-O-Furylidene-d-glucopyranose",C11H14O7,70.8093732,Automatically assigned using a linear fit of manual peak assignments,O
4.505,67.8355,10.3679,"Cyclohexane, 1-ethyl-1-methyl-",C9H18,87.40733441,Automatically assigned using a linear fit of manual peak assignments,C
4.543,16.9288,10.47049901,Acetyl valeryl,C7H12O2,84.63510584,Automatically assigned using a linear fit of manual peak assignments,O
4.61,10.5106,10.5740445,"Cyclohexane, 1,3,5-trimethyl-",C9H18,95.66072421,Automatically assigned using a linear fit of manual peak assignments,C
4.705,5.7017,10.85602282,No Match,,,Automatically assigned using a linear fit of manual peak assignments,
4.744,17.8743,10.8732,"Octane, 2-methyl-",C9H20,96.72493874,Automatically assigned using a linear fit of manual peak assignments,B
4.829,17.3747,11.1363,"Cyclohexane, 1,2,4-trimethyl-",C9H18,92.18218443,Automatically assigned using a linear fit of manual peak assignments,B
4.869,4.8875,11.2043,"Cyclohexane, 1,2,4-trimethyl-",C9H18,94.25157585,Automatically assigned using a linear fit of manual peak assignments,B
4.905,5.4813,11.30617054,"Hexane, 3,4-bis(1,1-dimethylethyl)-2,2,5,5-tetramethyl-",C18H38,69.99204215,Automatically assigned using a linear fit of manual peak assignments,B
4.966,92.0275,11.02451415,"Octane, 3-methyl-",C9H20,97.76258894,Manual,B
5.075,61.9545,11.69277813,No Match,,,Automatically assigned using a linear fit of manual peak assignments,
5.135,9.8696,11.79234892,"1-Ethyl-3-methylcyclohexane (c,t)",C9H18,95.74741699,Automatically assigned using a linear fit of manual peak assignments,C
5.181,10.2229,11.92126928,No Match,,,Automatically assigned using a linear fit of manual peak assignments,
5.227,6.6938,11.9868,"4,4-Dimethyl octane",C10H22,92.1225312,Automatically assigned using a linear fit of manual peak assignments,B
5.316,18.8664,12.21462513,"Octane, 2,7-dimethyl-",C10H22,92.94354219,Automatically assigned using a linear fit of manual peak assignments,B
5.347,8.0964,12.2615,2(5H)-Furanone,C4H4O2,59.15077545,Automatically assigned using a linear fit of manual peak assignments,O
5.41,6.6535,12.42422952,"Octane, 3,6-dimethyl-",C10H22,89.86768478,Automatically assigned using a linear fit of manual peak assignments,B
5.482,2.4616,12.6067,"Cyclooctane, 1-methyl-3-propyl-",C12H24,79.09640253,Automatically assigned using a linear fit of manual peak assignments,B
5.526,23.5335,12.68060896,5-Acetyl-2-furanmethanol,C7H8O3,64.83041557,Automatically assigned using a linear fit of manual peak assignments,O
5.625,7.7877,12.8933,"Benzene, 1-ethyl-2-methyl-",C9H12,94.47377011,Automatically assigned using a linear fit of manual peak assignments,A
5.674,5.5846,13.0189,"Nonane, 3-methyl-",C10H22,95.01501004,Automatically assigned using a linear fit of manual peak assignments,B
5.808,15.145,13.3316779,No Match,,,Automatically assigned using a linear fit of manual peak assignments,
5.925,14.7217,13.60105506,"m-Menthane, (1S,3S)-(+)-",C10H20,84.21161677,Automatically assigned using a linear fit of manual peak assignments,C
5.994,14.83,13.74695907,No Match,,,Automatically assigned using a linear fit of manual peak assignments,
6.068,16.9617,13.8868512,"Nonane, 2,5-dimethyl-",C11H24,87.50497128,Automatically assigned using a linear fit of manual peak assignments,B
6.155,8.5918,14.02887269,No Match,,,Automatically assigned using a linear fit of manual peak assignments,
6.401,6.3749,14.63394878,"Decane, 2-methyl-",C11H24,91.22132881,Automatically assigned using a linear fit of manual peak assignments,B
6.516,19.03,14.9333348,"Benzene, 2-ethyl-1,4-dimethyl-",C10H14,84.38464244,Automatically assigned using a linear fit of manual peak assignments,A
6.558,17.1995,15.02565014,No Match,,,Automatically assigned using a linear fit of manual peak assignments,
6.616,1.8694,15.1267762,"Indan, 1-methyl-",C10H12,57.3909891,Automatically assigned using a linear fit of manual peak assignments,A
6.664,11.0752,15.1821,"Undecane, 4,7-dimethyl-",C13H28,83.09268534,Automatically assigned using a linear fit of manual peak assignments,B
6.894,2.1009,15.74677735,No Match,,,Automatically assigned using a linear fit of manual peak assignments,
7.023,5.9991,15.74677735,No Match,,,Automatically assigned using a linear fit of manual peak assignments,
7.123,7.0422,16.14255093,"Indan, 1-methyl-",C10H12,61.2886762,Automatically assigned using a linear fit of manual peak assignments,A
7.436,7.6928,,,,,,
7.48,4.0836,,,,,,
7.562,4.2855,,,,,,
7.664,4.1367,,,,,,
8.018,2.5215,,,,,,
8.065,1.9354,,,,,,
8.121,5.4959,,,,,,
8.219,2.678,,,,,,
8.664,2.395,,,,,,
8.917,1.9557,,,,,,
9.963,55.4477,,,,,,
