FID RT,FID Area,MS RT,Compound Name,Formula,Match Factor
31.314,49.1904,No match,No match,No match,No match
31.459,1.0617,No match,No match,No match,No match
31.594,1.9852,No match,No match,No match,No match
31.64,0.9198,No match,No match,No match,No match
31.909,0.129,No match,No match,No match,No match
33.225,0.2398,33.23097898,No Match,,
33.447,0.1668,No match,No match,No match,No match
33.487,0.3544,No match,No match,No match,No match
33.761,0.2272,No match,No match,No match,No match
33.887,0.0798,No match,No match,No match,No match
34.346,0.5387,No match,No match,No match,No match
34.429,0.177,No match,No match,No match,No match
34.635,0.085,34.6412,"5-Benzofuranpropanol, 2-(1,3-benzodioxol-5-yl)-7-methoxy-",C19H18O5,52.91475995
34.688,0.0407,No match,No match,No match,No match
34.831,0.4863,34.8342,"9,10-Anthracenedione, 1-phenyl-",C20H12O2,69.4079862
34.879,0.3297,34.875,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,60.38951414
34.911,0.4235,No match,No match,No match,No match
35.13,0.1781,No match,No match,No match,No match
35.162,0.1274,No match,No match,No match,No match
35.222,0.1683,No match,No match,No match,No match
35.255,0.214,35.2608,No Match,,
35.361,0.0389,No match,No match,No match,No match
35.505,0.1317,No match,No match,No match,No match
35.594,0.5683,No match,No match,No match,No match
35.941,0.1654,No match,No match,No match,No match
36.121,0.2906,No match,No match,No match,No match
36.181,0.1157,No match,No match,No match,No match
36.212,0.2318,No match,No match,No match,No match
36.259,0.388,No match,No match,No match,No match
36.763,0.08,No match,No match,No match,No match
36.838,0.881,No match,No match,No match,No match
37.128,0.2525,No match,No match,No match,No match
37.64,0.0804,No match,No match,No match,No match
38.793,0.1652,38.7905,No Match,,
38.861,0.2606,No match,No match,No match,No match
38.977,0.0822,38.9822,No Match,,
39.322,1.0437,No match,No match,No match,No match
39.634,0.0418,No match,No match,No match,No match
39.666,0.3874,No match,No match,No match,No match
39.968,0.4311,39.9606952,No Match,,
